Iteration results:
Time: 387800 ns
Received messages count:
Employee ID: 6144, Received messages: 0
Employee ID: 6145, Received messages: 0
Employee ID: 6146, Received messages: 0
Employee ID: 6147, Received messages: 0
Employee ID: 6148, Received messages: 0
Employee ID: 6149, Received messages: 0
Employee ID: 6100, Received messages: 0
Employee ID: 6101, Received messages: 0
Employee ID: 6102, Received messages: 0
Employee ID: 6103, Received messages: 0
Employee ID: 6104, Received messages: 0
Employee ID: 6105, Received messages: 0
Employee ID: 6106, Received messages: 0
Employee ID: 6107, Received messages: 0
Employee ID: 6108, Received messages: 0
Employee ID: 6109, Received messages: 0
Employee ID: 6110, Received messages: 0
Employee ID: 6111, Received messages: 0
Employee ID: 6112, Received messages: 0
Employee ID: 6113, Received messages: 0
Employee ID: 6114, Received messages: 0
Employee ID: 6115, Received messages: 0
Employee ID: 6116, Received messages: 0
Employee ID: 6117, Received messages: 0
Employee ID: 6118, Received messages: 0
Employee ID: 6119, Received messages: 0
Employee ID: 6120, Received messages: 0
Employee ID: 6121, Received messages: 0
Employee ID: 6122, Received messages: 0
Employee ID: 6123, Received messages: 0
Employee ID: 6124, Received messages: 0
Employee ID: 6125, Received messages: 0
Employee ID: 6126, Received messages: 0
Employee ID: 6127, Received messages: 0
Employee ID: 6128, Received messages: 0
Employee ID: 6129, Received messages: 0
Employee ID: 6130, Received messages: 0
Employee ID: 6131, Received messages: 0
Employee ID: 6132, Received messages: 0
Employee ID: 6133, Received messages: 0
Employee ID: 6134, Received messages: 0
Employee ID: 6135, Received messages: 0
Employee ID: 6136, Received messages: 0
Employee ID: 6137, Received messages: 0
Employee ID: 6138, Received messages: 0
Employee ID: 6139, Received messages: 0
Employee ID: 6140, Received messages: 0
Employee ID: 6141, Received messages: 0
Employee ID: 6142, Received messages: 0
Employee ID: 6143, Received messages: 0
