Collector results:
Time: 177091700 ns
Received messages count:
Employee ID: 15360, Received messages: 0
Employee ID: 15361, Received messages: 0
Employee ID: 15362, Received messages: 0
Employee ID: 15363, Received messages: 0
Employee ID: 15364, Received messages: 0
Employee ID: 15365, Received messages: 0
Employee ID: 15366, Received messages: 0
Employee ID: 15367, Received messages: 0
Employee ID: 15368, Received messages: 0
Employee ID: 15369, Received messages: 0
Employee ID: 15370, Received messages: 0
Employee ID: 15371, Received messages: 0
Employee ID: 15372, Received messages: 0
Employee ID: 15373, Received messages: 0
Employee ID: 15374, Received messages: 0
Employee ID: 15375, Received messages: 0
Employee ID: 15376, Received messages: 0
Employee ID: 15377, Received messages: 0
Employee ID: 15378, Received messages: 0
Employee ID: 15379, Received messages: 0
Employee ID: 15380, Received messages: 0
Employee ID: 15381, Received messages: 0
Employee ID: 15382, Received messages: 0
Employee ID: 15383, Received messages: 0
Employee ID: 15384, Received messages: 0
Employee ID: 15385, Received messages: 0
Employee ID: 15386, Received messages: 0
Employee ID: 15387, Received messages: 0
Employee ID: 15388, Received messages: 0
Employee ID: 15389, Received messages: 0
Employee ID: 15390, Received messages: 0
Employee ID: 15391, Received messages: 0
Employee ID: 15392, Received messages: 0
Employee ID: 15393, Received messages: 0
Employee ID: 15394, Received messages: 0
Employee ID: 15395, Received messages: 0
Employee ID: 15396, Received messages: 0
Employee ID: 15397, Received messages: 0
Employee ID: 15398, Received messages: 0
Employee ID: 15399, Received messages: 0
Employee ID: 15400, Received messages: 0
Employee ID: 15401, Received messages: 0
Employee ID: 15402, Received messages: 0
Employee ID: 15403, Received messages: 0
Employee ID: 15404, Received messages: 0
Employee ID: 15405, Received messages: 0
Employee ID: 15406, Received messages: 0
Employee ID: 15407, Received messages: 0
Employee ID: 15408, Received messages: 0
Employee ID: 15409, Received messages: 0
Employee ID: 15410, Received messages: 0
Employee ID: 15411, Received messages: 0
Employee ID: 15412, Received messages: 0
Employee ID: 15413, Received messages: 0
Employee ID: 15414, Received messages: 0
Employee ID: 15415, Received messages: 0
Employee ID: 15416, Received messages: 0
Employee ID: 15417, Received messages: 0
Employee ID: 15418, Received messages: 0
Employee ID: 15419, Received messages: 0
Employee ID: 15420, Received messages: 0
Employee ID: 15421, Received messages: 0
Employee ID: 15422, Received messages: 0
Employee ID: 15423, Received messages: 0
Employee ID: 15424, Received messages: 0
Employee ID: 15425, Received messages: 0
Employee ID: 15426, Received messages: 0
Employee ID: 15427, Received messages: 0
Employee ID: 15428, Received messages: 0
Employee ID: 15429, Received messages: 0
Employee ID: 15430, Received messages: 0
Employee ID: 15431, Received messages: 0
Employee ID: 15432, Received messages: 0
Employee ID: 15433, Received messages: 0
Employee ID: 15434, Received messages: 0
Employee ID: 15435, Received messages: 0
Employee ID: 15436, Received messages: 0
Employee ID: 15437, Received messages: 0
Employee ID: 15438, Received messages: 0
Employee ID: 15439, Received messages: 0
Employee ID: 15440, Received messages: 0
Employee ID: 15441, Received messages: 0
Employee ID: 15442, Received messages: 0
Employee ID: 15443, Received messages: 0
Employee ID: 15444, Received messages: 0
Employee ID: 15445, Received messages: 0
Employee ID: 15446, Received messages: 0
Employee ID: 15447, Received messages: 0
Employee ID: 15448, Received messages: 0
Employee ID: 15449, Received messages: 0
Employee ID: 15450, Received messages: 0
Employee ID: 15451, Received messages: 0
Employee ID: 15452, Received messages: 0
Employee ID: 15453, Received messages: 0
Employee ID: 15454, Received messages: 0
Employee ID: 15455, Received messages: 0
Employee ID: 15456, Received messages: 0
Employee ID: 15457, Received messages: 0
Employee ID: 15458, Received messages: 0
Employee ID: 15459, Received messages: 0
Employee ID: 15460, Received messages: 0
Employee ID: 15461, Received messages: 0
Employee ID: 15462, Received messages: 0
Employee ID: 15463, Received messages: 0
Employee ID: 15464, Received messages: 0
Employee ID: 15465, Received messages: 0
Employee ID: 15466, Received messages: 0
Employee ID: 15467, Received messages: 0
Employee ID: 15468, Received messages: 0
Employee ID: 15469, Received messages: 0
Employee ID: 15470, Received messages: 0
Employee ID: 15471, Received messages: 0
Employee ID: 15472, Received messages: 0
Employee ID: 15473, Received messages: 0
Employee ID: 15474, Received messages: 0
Employee ID: 15475, Received messages: 0
Employee ID: 15476, Received messages: 0
Employee ID: 15477, Received messages: 0
Employee ID: 15478, Received messages: 0
Employee ID: 15479, Received messages: 0
Employee ID: 15480, Received messages: 0
Employee ID: 15481, Received messages: 0
Employee ID: 15482, Received messages: 0
Employee ID: 15483, Received messages: 0
Employee ID: 15484, Received messages: 0
Employee ID: 15485, Received messages: 0
Employee ID: 15486, Received messages: 0
Employee ID: 15487, Received messages: 0
Employee ID: 15488, Received messages: 0
Employee ID: 15489, Received messages: 0
Employee ID: 15490, Received messages: 0
Employee ID: 15491, Received messages: 0
Employee ID: 15492, Received messages: 0
Employee ID: 15493, Received messages: 0
Employee ID: 15494, Received messages: 0
Employee ID: 15495, Received messages: 0
Employee ID: 15496, Received messages: 0
Employee ID: 15497, Received messages: 0
Employee ID: 15498, Received messages: 0
Employee ID: 15499, Received messages: 0
Employee ID: 15500, Received messages: 0
Employee ID: 15501, Received messages: 0
Employee ID: 15502, Received messages: 0
Employee ID: 15503, Received messages: 0
Employee ID: 15504, Received messages: 0
Employee ID: 15505, Received messages: 0
Employee ID: 15506, Received messages: 0
Employee ID: 15507, Received messages: 0
Employee ID: 15508, Received messages: 0
Employee ID: 15509, Received messages: 0
Employee ID: 15510, Received messages: 0
Employee ID: 15511, Received messages: 0
Employee ID: 15512, Received messages: 0
Employee ID: 15513, Received messages: 0
Employee ID: 15514, Received messages: 0
Employee ID: 15515, Received messages: 0
Employee ID: 15516, Received messages: 0
Employee ID: 15517, Received messages: 0
Employee ID: 15518, Received messages: 0
Employee ID: 15519, Received messages: 0
Employee ID: 15520, Received messages: 0
Employee ID: 15521, Received messages: 0
Employee ID: 15522, Received messages: 0
Employee ID: 15523, Received messages: 0
Employee ID: 15524, Received messages: 0
Employee ID: 15525, Received messages: 0
Employee ID: 15526, Received messages: 0
Employee ID: 15527, Received messages: 0
Employee ID: 15528, Received messages: 0
Employee ID: 15529, Received messages: 0
Employee ID: 15530, Received messages: 0
Employee ID: 15531, Received messages: 0
Employee ID: 15532, Received messages: 0
Employee ID: 15533, Received messages: 0
Employee ID: 15534, Received messages: 0
Employee ID: 15535, Received messages: 0
Employee ID: 15536, Received messages: 0
Employee ID: 15537, Received messages: 0
Employee ID: 15538, Received messages: 0
Employee ID: 15539, Received messages: 0
Employee ID: 15540, Received messages: 0
Employee ID: 15541, Received messages: 0
Employee ID: 15542, Received messages: 0
Employee ID: 15543, Received messages: 0
Employee ID: 15544, Received messages: 0
Employee ID: 15545, Received messages: 0
Employee ID: 15546, Received messages: 0
Employee ID: 15547, Received messages: 0
Employee ID: 15548, Received messages: 0
Employee ID: 15549, Received messages: 0
Employee ID: 15550, Received messages: 0
Employee ID: 15551, Received messages: 0
Employee ID: 15552, Received messages: 0
Employee ID: 15553, Received messages: 0
Employee ID: 15554, Received messages: 0
Employee ID: 15555, Received messages: 0
Employee ID: 15556, Received messages: 0
Employee ID: 15557, Received messages: 0
Employee ID: 15558, Received messages: 0
Employee ID: 15559, Received messages: 0
Employee ID: 15560, Received messages: 0
Employee ID: 15561, Received messages: 0
