Collector results:
Time: 167556300 ns
Received messages count:
Employee ID: 18432, Received messages: 0
Employee ID: 18433, Received messages: 0
Employee ID: 18434, Received messages: 0
Employee ID: 18435, Received messages: 0
Employee ID: 18436, Received messages: 0
Employee ID: 18437, Received messages: 0
Employee ID: 18438, Received messages: 0
Employee ID: 18439, Received messages: 0
Employee ID: 18440, Received messages: 0
Employee ID: 18441, Received messages: 0
Employee ID: 18442, Received messages: 0
Employee ID: 18443, Received messages: 0
Employee ID: 18444, Received messages: 0
Employee ID: 18445, Received messages: 0
Employee ID: 18446, Received messages: 0
Employee ID: 18447, Received messages: 0
Employee ID: 18448, Received messages: 0
Employee ID: 18449, Received messages: 0
Employee ID: 18450, Received messages: 0
Employee ID: 18451, Received messages: 0
Employee ID: 18452, Received messages: 0
Employee ID: 18453, Received messages: 0
Employee ID: 18454, Received messages: 0
Employee ID: 18455, Received messages: 0
Employee ID: 18456, Received messages: 0
Employee ID: 18457, Received messages: 0
Employee ID: 18458, Received messages: 0
Employee ID: 18459, Received messages: 0
Employee ID: 18460, Received messages: 0
Employee ID: 18461, Received messages: 0
Employee ID: 18462, Received messages: 0
Employee ID: 18463, Received messages: 0
Employee ID: 18464, Received messages: 0
Employee ID: 18465, Received messages: 0
Employee ID: 18466, Received messages: 0
Employee ID: 18467, Received messages: 0
Employee ID: 18468, Received messages: 0
Employee ID: 18469, Received messages: 0
Employee ID: 18470, Received messages: 0
Employee ID: 18471, Received messages: 0
Employee ID: 18472, Received messages: 0
Employee ID: 18473, Received messages: 0
Employee ID: 18474, Received messages: 0
Employee ID: 18475, Received messages: 0
Employee ID: 18476, Received messages: 0
Employee ID: 18477, Received messages: 0
Employee ID: 18478, Received messages: 0
Employee ID: 18479, Received messages: 0
Employee ID: 18480, Received messages: 0
Employee ID: 18481, Received messages: 0
Employee ID: 18482, Received messages: 0
Employee ID: 18483, Received messages: 0
Employee ID: 18484, Received messages: 0
Employee ID: 18485, Received messages: 0
Employee ID: 18486, Received messages: 0
Employee ID: 18487, Received messages: 0
Employee ID: 18488, Received messages: 0
Employee ID: 18489, Received messages: 0
Employee ID: 18490, Received messages: 0
Employee ID: 18491, Received messages: 0
Employee ID: 18492, Received messages: 0
Employee ID: 18493, Received messages: 0
Employee ID: 18494, Received messages: 0
Employee ID: 18495, Received messages: 0
Employee ID: 18496, Received messages: 0
Employee ID: 18497, Received messages: 0
Employee ID: 18498, Received messages: 0
Employee ID: 18499, Received messages: 0
Employee ID: 18500, Received messages: 0
Employee ID: 18501, Received messages: 0
Employee ID: 18502, Received messages: 0
Employee ID: 18503, Received messages: 0
Employee ID: 18504, Received messages: 0
Employee ID: 18505, Received messages: 0
Employee ID: 18506, Received messages: 0
Employee ID: 18507, Received messages: 0
Employee ID: 18508, Received messages: 0
Employee ID: 18509, Received messages: 0
Employee ID: 18510, Received messages: 0
Employee ID: 18511, Received messages: 0
Employee ID: 18512, Received messages: 0
Employee ID: 18513, Received messages: 0
Employee ID: 18514, Received messages: 0
Employee ID: 18515, Received messages: 0
Employee ID: 18516, Received messages: 0
Employee ID: 18517, Received messages: 0
Employee ID: 18518, Received messages: 0
Employee ID: 18519, Received messages: 0
Employee ID: 18520, Received messages: 0
Employee ID: 18521, Received messages: 0
Employee ID: 18522, Received messages: 0
Employee ID: 18523, Received messages: 0
Employee ID: 18524, Received messages: 0
Employee ID: 18525, Received messages: 0
Employee ID: 18526, Received messages: 0
Employee ID: 18527, Received messages: 0
Employee ID: 18528, Received messages: 0
Employee ID: 18529, Received messages: 0
Employee ID: 18530, Received messages: 0
Employee ID: 18531, Received messages: 0
Employee ID: 18532, Received messages: 0
Employee ID: 18533, Received messages: 0
Employee ID: 18534, Received messages: 0
Employee ID: 18535, Received messages: 0
Employee ID: 18536, Received messages: 0
Employee ID: 18537, Received messages: 0
Employee ID: 18538, Received messages: 0
Employee ID: 18539, Received messages: 0
Employee ID: 18540, Received messages: 0
Employee ID: 18541, Received messages: 0
Employee ID: 18542, Received messages: 0
Employee ID: 18543, Received messages: 0
Employee ID: 18544, Received messages: 0
Employee ID: 18545, Received messages: 0
Employee ID: 18546, Received messages: 0
Employee ID: 18547, Received messages: 0
Employee ID: 18548, Received messages: 0
Employee ID: 18549, Received messages: 0
Employee ID: 18550, Received messages: 0
Employee ID: 18551, Received messages: 0
Employee ID: 18552, Received messages: 0
Employee ID: 18553, Received messages: 0
Employee ID: 18554, Received messages: 0
Employee ID: 18555, Received messages: 0
Employee ID: 18556, Received messages: 0
Employee ID: 18557, Received messages: 0
Employee ID: 18558, Received messages: 0
Employee ID: 18559, Received messages: 0
Employee ID: 18560, Received messages: 0
Employee ID: 18561, Received messages: 0
Employee ID: 18562, Received messages: 0
Employee ID: 18563, Received messages: 0
Employee ID: 18564, Received messages: 0
Employee ID: 18565, Received messages: 0
Employee ID: 18566, Received messages: 0
Employee ID: 18567, Received messages: 0
Employee ID: 18568, Received messages: 0
Employee ID: 18569, Received messages: 0
Employee ID: 18570, Received messages: 0
Employee ID: 18571, Received messages: 0
Employee ID: 18572, Received messages: 0
Employee ID: 18573, Received messages: 0
Employee ID: 18574, Received messages: 0
Employee ID: 18575, Received messages: 0
Employee ID: 18576, Received messages: 0
Employee ID: 18577, Received messages: 0
Employee ID: 18578, Received messages: 0
Employee ID: 18579, Received messages: 0
Employee ID: 18580, Received messages: 0
Employee ID: 18581, Received messages: 0
Employee ID: 18582, Received messages: 0
Employee ID: 18583, Received messages: 0
Employee ID: 18584, Received messages: 0
Employee ID: 18585, Received messages: 0
Employee ID: 18586, Received messages: 0
Employee ID: 18587, Received messages: 0
Employee ID: 18588, Received messages: 0
Employee ID: 18589, Received messages: 0
Employee ID: 18590, Received messages: 0
Employee ID: 18591, Received messages: 0
Employee ID: 18592, Received messages: 0
Employee ID: 18593, Received messages: 0
Employee ID: 18594, Received messages: 0
Employee ID: 18595, Received messages: 0
Employee ID: 18596, Received messages: 0
Employee ID: 18597, Received messages: 0
Employee ID: 18598, Received messages: 0
Employee ID: 18599, Received messages: 0
Employee ID: 18600, Received messages: 0
Employee ID: 18601, Received messages: 0
Employee ID: 18602, Received messages: 0
Employee ID: 18603, Received messages: 0
Employee ID: 18604, Received messages: 0
Employee ID: 18605, Received messages: 0
Employee ID: 18606, Received messages: 0
Employee ID: 18607, Received messages: 0
Employee ID: 18608, Received messages: 0
Employee ID: 18609, Received messages: 0
Employee ID: 18610, Received messages: 0
Employee ID: 18611, Received messages: 0
Employee ID: 18612, Received messages: 0
Employee ID: 18613, Received messages: 0
Employee ID: 18614, Received messages: 0
Employee ID: 18615, Received messages: 0
Employee ID: 18616, Received messages: 0
Employee ID: 18617, Received messages: 0
Employee ID: 18618, Received messages: 0
Employee ID: 18619, Received messages: 0
Employee ID: 18620, Received messages: 0
Employee ID: 18621, Received messages: 0
Employee ID: 18622, Received messages: 0
Employee ID: 18623, Received messages: 0
Employee ID: 18624, Received messages: 0
Employee ID: 18625, Received messages: 0
Employee ID: 18626, Received messages: 0
Employee ID: 18627, Received messages: 0
Employee ID: 18628, Received messages: 0
Employee ID: 18629, Received messages: 0
Employee ID: 18630, Received messages: 0
Employee ID: 18631, Received messages: 0
Employee ID: 18632, Received messages: 0
Employee ID: 18633, Received messages: 0
Employee ID: 18634, Received messages: 0
Employee ID: 18635, Received messages: 0
Employee ID: 18636, Received messages: 0
Employee ID: 18637, Received messages: 0
Employee ID: 18638, Received messages: 0
Employee ID: 18639, Received messages: 0
Employee ID: 18640, Received messages: 0
Employee ID: 18641, Received messages: 0
Employee ID: 18642, Received messages: 0
Employee ID: 18643, Received messages: 0
Employee ID: 18644, Received messages: 0
Employee ID: 18645, Received messages: 0
Employee ID: 18646, Received messages: 0
Employee ID: 18647, Received messages: 0
Employee ID: 18648, Received messages: 0
Employee ID: 18649, Received messages: 0
Employee ID: 18650, Received messages: 0
Employee ID: 18651, Received messages: 0
Employee ID: 18652, Received messages: 0
Employee ID: 18653, Received messages: 0
Employee ID: 18654, Received messages: 0
Employee ID: 18655, Received messages: 0
Employee ID: 18656, Received messages: 0
Employee ID: 18657, Received messages: 0
Employee ID: 18658, Received messages: 0
Employee ID: 18659, Received messages: 0
Employee ID: 18660, Received messages: 0
Employee ID: 18661, Received messages: 0
Employee ID: 18662, Received messages: 0
Employee ID: 18663, Received messages: 0
Employee ID: 18664, Received messages: 0
Employee ID: 18665, Received messages: 0
Employee ID: 18666, Received messages: 0
Employee ID: 18667, Received messages: 0
Employee ID: 18668, Received messages: 0
Employee ID: 18669, Received messages: 0
Employee ID: 18670, Received messages: 0
Employee ID: 18671, Received messages: 0
Employee ID: 18672, Received messages: 0
Employee ID: 18673, Received messages: 0
Employee ID: 18674, Received messages: 0
Employee ID: 18675, Received messages: 0
Employee ID: 18676, Received messages: 0
Employee ID: 18677, Received messages: 0
Employee ID: 18678, Received messages: 0
Employee ID: 18679, Received messages: 0
Employee ID: 18680, Received messages: 0
Employee ID: 18681, Received messages: 0
Employee ID: 18682, Received messages: 0
Employee ID: 18683, Received messages: 0
Employee ID: 18684, Received messages: 0
Employee ID: 18685, Received messages: 0
Employee ID: 18686, Received messages: 0
Employee ID: 18687, Received messages: 0
Employee ID: 18688, Received messages: 0
Employee ID: 18689, Received messages: 0
Employee ID: 18690, Received messages: 0
Employee ID: 18691, Received messages: 0
Employee ID: 18692, Received messages: 0
Employee ID: 18693, Received messages: 0
Employee ID: 18694, Received messages: 0
Employee ID: 18695, Received messages: 0
Employee ID: 18696, Received messages: 0
Employee ID: 18697, Received messages: 0
